County	State	Year	Population
Stanly County	North Carolina	2012	60496
Stanly County	North Carolina	2013	60619
Stanly County	North Carolina	2014	60629
Stanly County	North Carolina	2015	60714
Balance of Stanly County	North Carolina	2010	31561
Balance of Stanly County	North Carolina	2011	31518
Balance of Stanly County	North Carolina	2012	31523
Balance of Stanly County	North Carolina	2013	31565
Balance of Stanly County	North Carolina	2014	31541
Balance of Stanly County	North Carolina	2015	31572
Stokes County	North Carolina	2010	47335
Stokes County	North Carolina	2011	47192
Stokes County	North Carolina	2012	46761
Stokes County	North Carolina	2013	46588
Stokes County	North Carolina	2014	46415
Stokes County	North Carolina	2015	46351
Balance of Stokes County	North Carolina	2010	39438
Balance of Stokes County	North Carolina	2011	39301
Balance of Stokes County	North Carolina	2012	38921
Balance of Stokes County	North Carolina	2013	38749
Balance of Stokes County	North Carolina	2014	38569
Balance of Stokes County	North Carolina	2015	38358
Surry County	North Carolina	2010	73693
Surry County	North Carolina	2011	73608
Surry County	North Carolina	2012	73524
Surry County	North Carolina	2013	72993
Surry County	North Carolina	2014	72980
Surry County	North Carolina	2015	72743
Balance of Surry County	North Carolina	2010	56283
Balance of Surry County	North Carolina	2011	56168
Balance of Surry County	North Carolina	2012	56088
Balance of Surry County	North Carolina	2013	55657
Balance of Surry County	North Carolina	2014	55572
Balance of Surry County	North Carolina	2015	55370
Swain County	North Carolina	2010	13997
Swain County	North Carolina	2011	13999
Swain County	North Carolina	2012	14088
Swain County	North Carolina	2013	14010
Swain County	North Carolina	2014	14286
Swain County	North Carolina	2015	14434
Balance of Swain County	North Carolina	2010	12577
Balance of Swain County	North Carolina	2011	12577
Balance of Swain County	North Carolina	2012	12661
Balance of Swain County	North Carolina	2013	12598
Balance of Swain County	North Carolina	2014	12842
Balance of Swain County	North Carolina	2015	12976
Transylvania County	North Carolina	2010	33065
Transylvania County	North Carolina	2011	32798
Transylvania County	North Carolina	2012	32815
Transylvania County	North Carolina	2013	32827
Transylvania County	North Carolina	2014	32991
Transylvania County	North Carolina	2015	33211
Balance of Transylvania County	North Carolina	2010	24811
Balance of Transylvania County	North Carolina	2011	24609
Balance of Transylvania County	North Carolina	2012	24631
Balance of Transylvania County	North Carolina	2013	24619
Balance of Transylvania County	North Carolina	2014	24736
Balance of Transylvania County	North Carolina	2015	24903
Tyrrell County	North Carolina	2010	4413
Tyrrell County	North Carolina	2011	4338
Tyrrell County	North Carolina	2012	4137
Tyrrell County	North Carolina	2013	4099
Tyrrell County	North Carolina	2014	4118
Tyrrell County	North Carolina	2015	4070
Balance of Tyrrell County	North Carolina	2010	3531
Balance of Tyrrell County	North Carolina	2011	3473
Balance of Tyrrell County	North Carolina	2012	3283
Balance of Tyrrell County	North Carolina	2013	3254
Balance of Tyrrell County	North Carolina	2014	3274
Balance of Tyrrell County	North Carolina	2015	3238
Union County	North Carolina	2010	202117
Union County	North Carolina	2011	205060
Union County	North Carolina	2012	208347
Union County	North Carolina	2013	212623
Union County	North Carolina	2014	218337
Union County	North Carolina	2015	222742
Balance of Union County	North Carolina	2010	66423
Balance of Union County	North Carolina	2011	67351
Balance of Union County	North Carolina	2012	68417
Balance of Union County	North Carolina	2013	69572
Balance of Union County	North Carolina	2014	71165
Balance of Union County	North Carolina	2015	72523
Vance County	North Carolina	2010	45302
Vance County	North Carolina	2011	45242
Vance County	North Carolina	2012	45053
Vance County	North Carolina	2013	44697
Vance County	North Carolina	2014	44587
Vance County	North Carolina	2015	44568
Balance of Vance County	North Carolina	2010	29324
Balance of Vance County	North Carolina	2011	29256
Balance of Vance County	North Carolina	2012	29125
Balance of Vance County	North Carolina	2013	28823
Balance of Vance County	North Carolina	2014	28727
Balance of Vance County	North Carolina	2015	28692
Wake County	North Carolina	2010	906965
Wake County	North Carolina	2011	929334
Wake County	North Carolina	2012	952576
Wake County	North Carolina	2013	974717
Wake County	North Carolina	2014	999271
Wake County	North Carolina	2015	1024198
Balance of Wake County	North Carolina	2010	185587
Balance of Wake County	North Carolina	2011	188582
Balance of Wake County	North Carolina	2012	191239
Balance of Wake County	North Carolina	2013	190893
Balance of Wake County	North Carolina	2014	192522
Balance of Wake County	North Carolina	2015	194485
Warren County	North Carolina	2010	20923
Warren County	North Carolina	2011	20927
Warren County	North Carolina	2012	20587
Warren County	North Carolina	2013	20445
Warren County	North Carolina	2014	20224
Warren County	North Carolina	2015	20155
Balance of Warren County	North Carolina	2010	18796
Balance of Warren County	North Carolina	2011	18799
Balance of Warren County	North Carolina	2012	18495
Balance of Warren County	North Carolina	2013	18351
Balance of Warren County	North Carolina	2014	18153
Balance of Warren County	North Carolina	2015	18092
Washington County	North Carolina	2010	13163
Washington County	North Carolina	2011	12949
Washington County	North Carolina	2012	12717
Washington County	North Carolina	2013	12732
Washington County	North Carolina	2014	12558
Washington County	North Carolina	2015	12385
Balance of Washington County	North Carolina	2010	8416
Balance of Washington County	North Carolina	2011	8273
Balance of Washington County	North Carolina	2012	8118
Balance of Washington County	North Carolina	2013	8125
Balance of Washington County	North Carolina	2014	8011
Balance of Washington County	North Carolina	2015	7896
Watauga County	North Carolina	2010	50981
Watauga County	North Carolina	2011	51563
Watauga County	North Carolina	2012	52050
Watauga County	North Carolina	2013	52293
Watauga County	North Carolina	2014	52388
Watauga County	North Carolina	2015	52906
Balance of Watauga County	North Carolina	2010	32216
Balance of Watauga County	North Carolina	2011	32313
Balance of Watauga County	North Carolina	2012	32382
Balance of Watauga County	North Carolina	2013	32498
Balance of Watauga County	North Carolina	2014	32776
Balance of Watauga County	North Carolina	2015	33038
Wayne County	North Carolina	2010	122892
Wayne County	North Carolina	2011	124028
Wayne County	North Carolina	2012	124516
Wayne County	North Carolina	2013	124597
Wayne County	North Carolina	2014	124502
Wayne County	North Carolina	2015	124132
Balance of Wayne County	North Carolina	2010	79649
Balance of Wayne County	North Carolina	2011	80250
Balance of Wayne County	North Carolina	2012	80616
Balance of Wayne County	North Carolina	2013	80779
Balance of Wayne County	North Carolina	2014	80721
Balance of Wayne County	North Carolina	2015	80487
Wilkes County	North Carolina	2010	69231
Wilkes County	North Carolina	2011	69195
Wilkes County	North Carolina	2012	69225
Wilkes County	North Carolina	2013	69007
Wilkes County	North Carolina	2014	68802
Wilkes County	North Carolina	2015	68502
Balance of Wilkes County	North Carolina	2010	60902
Balance of Wilkes County	North Carolina	2011	60862
Balance of Wilkes County	North Carolina	2012	60936
Balance of Wilkes County	North Carolina	2013	60697
Balance of Wilkes County	North Carolina	2014	60524
Balance of Wilkes County	North Carolina	2015	60253
Wilson County	North Carolina	2010	81246
Wilson County	North Carolina	2011	81430
Wilson County	North Carolina	2012	81759
Wilson County	North Carolina	2013	81607
Wilson County	North Carolina	2014	81394
Wilson County	North Carolina	2015	81714
Balance of Wilson County	North Carolina	2010	26655
Balance of Wilson County	North Carolina	2011	26653
Balance of Wilson County	North Carolina	2012	26736
Balance of Wilson County	North Carolina	2013	26659
Balance of Wilson County	North Carolina	2014	26589
Balance of Wilson County	North Carolina	2015	26627
Yadkin County	North Carolina	2010	38436
Yadkin County	North Carolina	2011	38311
Yadkin County	North Carolina	2012	38115
Yadkin County	North Carolina	2013	38045
Yadkin County	North Carolina	2014	37798
Yadkin County	North Carolina	2015	37585
Balance of Yadkin County	North Carolina	2010	31339
Balance of Yadkin County	North Carolina	2011	31222
Balance of Yadkin County	North Carolina	2012	31055
Balance of Yadkin County	North Carolina	2013	30989
Balance of Yadkin County	North Carolina	2014	30777
Balance of Yadkin County	North Carolina	2015	30594
Yancey County	North Carolina	2010	17796
Yancey County	North Carolina	2011	17677
Yancey County	North Carolina	2012	17615
Yancey County	North Carolina	2013	17555
Yancey County	North Carolina	2014	17586
Yancey County	North Carolina	2015	17587
Balance of Yancey County	North Carolina	2010	16103
Balance of Yancey County	North Carolina	2011	15999
Balance of Yancey County	North Carolina	2012	15941
Balance of Yancey County	North Carolina	2013	15884
Balance of Yancey County	North Carolina	2014	15924
Balance of Yancey County	North Carolina	2015	15927
Adams County	North Dakota	2010	2349
Adams County	North Dakota	2011	2304
Adams County	North Dakota	2012	2317
Adams County	North Dakota	2013	2367
Adams County	North Dakota	2014	2359
Adams County	North Dakota	2015	2359
Balance of Adams County	North Dakota	2010	907
Balance of Adams County	North Dakota	2011	890
Balance of Adams County	North Dakota	2012	896
Balance of Adams County	North Dakota	2013	911
Balance of Adams County	North Dakota	2014	909
Balance of Adams County	North Dakota	2015	895
Barnes County	North Dakota	2010	11064
Barnes County	North Dakota	2011	11108
Barnes County	North Dakota	2012	11015
Barnes County	North Dakota	2013	11147
Barnes County	North Dakota	2014	11118
Barnes County	North Dakota	2015	11099
Balance of Barnes County	North Dakota	2010	3328
Balance of Barnes County	North Dakota	2011	3335
Balance of Barnes County	North Dakota	2012	3308
Balance of Barnes County	North Dakota	2013	3347
Balance of Barnes County	North Dakota	2014	3340
Balance of Barnes County	North Dakota	2015	3314
Benson County	North Dakota	2010	6675
Benson County	North Dakota	2011	6696
Benson County	North Dakota	2012	6768
Benson County	North Dakota	2013	6900
Benson County	North Dakota	2014	6854
Benson County	North Dakota	2015	6753
Balance of Benson County	North Dakota	2010	5270
Balance of Benson County	North Dakota	2011	5287
Balance of Benson County	North Dakota	2012	5359
Balance of Benson County	North Dakota	2013	5472
Balance of Benson County	North Dakota	2014	5429
Balance of Benson County	North Dakota	2015	5352
Billings County	North Dakota	2010	771
Billings County	North Dakota	2011	839
Billings County	North Dakota	2012	917
Billings County	North Dakota	2013	894
Billings County	North Dakota	2014	910
Billings County	North Dakota	2015	936
Balance of Billings County	North Dakota	2010	661
Balance of Billings County	North Dakota	2011	716
Balance of Billings County	North Dakota	2012	784
Balance of Billings County	North Dakota	2013	763
Balance of Billings County	North Dakota	2014	777
Balance of Billings County	North Dakota	2015	803
Bottineau County	North Dakota	2010	6426
Bottineau County	North Dakota	2011	6503
Bottineau County	North Dakota	2012	6582
Bottineau County	North Dakota	2013	6721
Bottineau County	North Dakota	2014	6649
Bottineau County	North Dakota	2015	6716
Balance of Bottineau County	North Dakota	2010	2987
Balance of Bottineau County	North Dakota	2011	3023
Balance of Bottineau County	North Dakota	2012	3059
Balance of Bottineau County	North Dakota	2013	3126
Balance of Bottineau County	North Dakota	2014	3095
Balance of Bottineau County	North Dakota	2015	3118
Bowman County	North Dakota	2010	3143
Bowman County	North Dakota	2011	3137
Bowman County	North Dakota	2012	3210
Bowman County	North Dakota	2013	3218
Bowman County	North Dakota	2014	3244
Bowman County	North Dakota	2015	3294
Balance of Bowman County	North Dakota	2010	1032
Balance of Bowman County	North Dakota	2011	1031
Balance of Bowman County	North Dakota	2012	1053
Balance of Bowman County	North Dakota	2013	1059
Balance of Bowman County	North Dakota	2014	1053
Balance of Bowman County	North Dakota	2015	1069
Burke County	North Dakota	2010	1959
Burke County	North Dakota	2011	2049
Burke County	North Dakota	2012	2161
Burke County	North Dakota	2013	2286
Burke County	North Dakota	2014	2235
Burke County	North Dakota	2015	2308
Balance of Burke County	North Dakota	2010	870
Balance of Burke County	North Dakota	2011	908
Balance of Burke County	North Dakota	2012	949
Balance of Burke County	North Dakota	2013	993
Balance of Burke County	North Dakota	2014	952
Balance of Burke County	North Dakota	2015	987
Burleigh County	North Dakota	2010	81729
Burleigh County	North Dakota	2011	83312
Burleigh County	North Dakota	2012	85815
Burleigh County	North Dakota	2013	88474
Burleigh County	North Dakota	2014	90521
Burleigh County	North Dakota	2015	92991
Balance of Burleigh County	North Dakota	2010	17276
Balance of Burleigh County	North Dakota	2011	17516
Balance of Burleigh County	North Dakota	2012	17839
Balance of Burleigh County	North Dakota	2013	17869
Balance of Burleigh County	North Dakota	2014	17821
Balance of Burleigh County	North Dakota	2015	17940
Cass County	North Dakota	2010	150270
Cass County	North Dakota	2011	153115
Cass County	North Dakota	2012	157509
Cass County	North Dakota	2013	163089
Cass County	North Dakota	2014	167276
Cass County	North Dakota	2015	171512
Balance of Cass County	North Dakota	2010	7594
Balance of Cass County	North Dakota	2011	7654
Balance of Cass County	North Dakota	2012	7789
Balance of Cass County	North Dakota	2013	7924
Balance of Cass County	North Dakota	2014	7938
Balance of Cass County	North Dakota	2015	7934
Cavalier County	North Dakota	2010	3982
Cavalier County	North Dakota	2011	3953
Cavalier County	North Dakota	2012	3942
Cavalier County	North Dakota	2013	3869
Cavalier County	North Dakota	2014	3858
Cavalier County	North Dakota	2015	3828
Balance of Cavalier County	North Dakota	2010	1497
Balance of Cavalier County	North Dakota	2011	1484
Balance of Cavalier County	North Dakota	2012	1490
Balance of Cavalier County	North Dakota	2013	1473
Balance of Cavalier County	North Dakota	2014	1466
Balance of Cavalier County	North Dakota	2015	1461
Dickey County	North Dakota	2010	5285
Dickey County	North Dakota	2011	5269
Dickey County	North Dakota	2012	5249
Dickey County	North Dakota	2013	5232
Dickey County	North Dakota	2014	5123
Dickey County	North Dakota	2015	5104
Balance of Dickey County	North Dakota	2010	1871
Balance of Dickey County	North Dakota	2011	1863
Balance of Dickey County	North Dakota	2012	1862
Balance of Dickey County	North Dakota	2013	1866
Balance of Dickey County	North Dakota	2014	1838
Balance of Dickey County	North Dakota	2015	1845
Divide County	North Dakota	2010	2078
Divide County	North Dakota	2011	2141
Divide County	North Dakota	2012	2233
Divide County	North Dakota	2013	2315
Divide County	North Dakota	2014	2429
Divide County	North Dakota	2015	2450
Balance of Divide County	North Dakota	2010	834
Balance of Divide County	North Dakota	2011	850
Balance of Divide County	North Dakota	2012	846
Balance of Divide County	North Dakota	2013	845
Balance of Divide County	North Dakota	2014	871
Balance of Divide County	North Dakota	2015	866
Dunn County	North Dakota	2010	3541
Dunn County	North Dakota	2011	3752
Dunn County	North Dakota	2012	3979
Dunn County	North Dakota	2013	4170
Dunn County	North Dakota	2014	4428
Dunn County	North Dakota	2015	4646
Balance of Dunn County	North Dakota	2010	2368
Balance of Dunn County	North Dakota	2011	2514
Balance of Dunn County	North Dakota	2012	2677
Balance of Dunn County	North Dakota	2013	2710
Balance of Dunn County	North Dakota	2014	2869
Balance of Dunn County	North Dakota	2015	2869
Eddy County	North Dakota	2010	2382
Eddy County	North Dakota	2011	2351
Eddy County	North Dakota	2012	2374
Eddy County	North Dakota	2013	2393
Eddy County	North Dakota	2014	2368
Eddy County	North Dakota	2015	2365
Balance of Eddy County	North Dakota	2010	790
Balance of Eddy County	North Dakota	2011	775
Balance of Eddy County	North Dakota	2012	785
Balance of Eddy County	North Dakota	2013	796
Balance of Eddy County	North Dakota	2014	782
Balance of Eddy County	North Dakota	2015	775
Emmons County	North Dakota	2010	3542
Emmons County	North Dakota	2011	3524
Emmons County	North Dakota	2012	3482
Emmons County	North Dakota	2013	3481
Emmons County	North Dakota	2014	3424
Emmons County	North Dakota	2015	3402
Balance of Emmons County	North Dakota	2010	1713
Balance of Emmons County	North Dakota	2011	1707
Balance of Emmons County	North Dakota	2012	1692
Balance of Emmons County	North Dakota	2013	1695
Balance of Emmons County	North Dakota	2014	1670
Balance of Emmons County	North Dakota	2015	1661
Foster County	North Dakota	2010	3344
Foster County	North Dakota	2011	3352
Foster County	North Dakota	2012	3391
Foster County	North Dakota	2013	3370
Foster County	North Dakota	2014	3362
Foster County	North Dakota	2015	3356
Balance of Foster County	North Dakota	2010	1068
Balance of Foster County	North Dakota	2011	1070
Balance of Foster County	North Dakota	2012	1082
Balance of Foster County	North Dakota	2013	1080
Balance of Foster County	North Dakota	2014	1077
Balance of Foster County	North Dakota	2015	1074
Golden Valley County	North Dakota	2010	1683
Golden Valley County	North Dakota	2011	1750
Golden Valley County	North Dakota	2012	1803
Golden Valley County	North Dakota	2013	1817
Golden Valley County	North Dakota	2014	1828
Golden Valley County	North Dakota	2015	1845
Balance of Golden Valley County	North Dakota	2010	543
Balance of Golden Valley County	North Dakota	2011	563
Balance of Golden Valley County	North Dakota	2012	584
Balance of Golden Valley County	North Dakota	2013	588
Balance of Golden Valley County	North Dakota	2014	589
Balance of Golden Valley County	North Dakota	2015	602
Grand Forks County	North Dakota	2010	66984
Grand Forks County	North Dakota	2011	66647
Grand Forks County	North Dakota	2012	67709
Grand Forks County	North Dakota	2013	69362
Grand Forks County	North Dakota	2014	70262
Grand Forks County	North Dakota	2015	70916
Balance of Grand Forks County	North Dakota	2010	9501
Balance of Grand Forks County	North Dakota	2011	9423
Balance of Grand Forks County	North Dakota	2012	9555
Balance of Grand Forks County	North Dakota	2013	9674
Balance of Grand Forks County	North Dakota	2014	9541
Balance of Grand Forks County	North Dakota	2015	9431
Grant County	North Dakota	2010	2389
Grant County	North Dakota	2011	2355
Grant County	North Dakota	2012	2337
Grant County	North Dakota	2013	2372
Grant County	North Dakota	2014	2358
Grant County	North Dakota	2015	2388
Balance of Grant County	North Dakota	2010	1220
Balance of Grant County	North Dakota	2011	1204
Balance of Grant County	North Dakota	2012	1203
Balance of Grant County	North Dakota	2013	1227
Balance of Grant County	North Dakota	2014	1216
Balance of Grant County	North Dakota	2015	1230
Griggs County	North Dakota	2010	2411
Griggs County	North Dakota	2011	2372
Griggs County	North Dakota	2012	2355
Griggs County	North Dakota	2013	2291
Griggs County	North Dakota	2014	2312
Griggs County	North Dakota	2015	2314
Balance of Griggs County	North Dakota	2010	1119
Balance of Griggs County	North Dakota	2011	1100
Balance of Griggs County	North Dakota	2012	1092
Balance of Griggs County	North Dakota	2013	1062
Balance of Griggs County	North Dakota	2014	1070
Balance of Griggs County	North Dakota	2015	1070
Hettinger County	North Dakota	2010	2475
Hettinger County	North Dakota	2011	2525
Hettinger County	North Dakota	2012	2555
Hettinger County	North Dakota	2013	2665
Hettinger County	North Dakota	2014	2656
Hettinger County	North Dakota	2015	2704
Balance of Hettinger County	North Dakota	2010	996
Balance of Hettinger County	North Dakota	2011	1020
Balance of Hettinger County	North Dakota	2012	1028
Balance of Hettinger County	North Dakota	2013	1070
Balance of Hettinger County	North Dakota	2014	1066
Balance of Hettinger County	North Dakota	2015	1079
Kidder County	North Dakota	2010	2439
Kidder County	North Dakota	2011	2446
Kidder County	North Dakota	2012	2435
Kidder County	North Dakota	2013	2426
Kidder County	North Dakota	2014	2424
Kidder County	North Dakota	2015	2417
Balance of Kidder County	North Dakota	2010	1275
Balance of Kidder County	North Dakota	2011	1280
Balance of Kidder County	North Dakota	2012	1272
Balance of Kidder County	North Dakota	2013	1267
Balance of Kidder County	North Dakota	2014	1266
Balance of Kidder County	North Dakota	2015	1261
LaMoure County	North Dakota	2010	4123
LaMoure County	North Dakota	2011	4115
LaMoure County	North Dakota	2012	4097
LaMoure County	North Dakota	2013	4118
LaMoure County	North Dakota	2014	4111
LaMoure County	North Dakota	2015	4125
Balance of LaMoure County	North Dakota	2010	1961
Balance of LaMoure County	North Dakota	2011	1960
Balance of LaMoure County	North Dakota	2012	1947
Balance of LaMoure County	North Dakota	2013	1948
Balance of LaMoure County	North Dakota	2014	1939
Balance of LaMoure County	North Dakota	2015	1946
Logan County	North Dakota	2010	1999
Logan County	North Dakota	2011	1970
Logan County	North Dakota	2012	1936
Logan County	North Dakota	2013	1935
Logan County	North Dakota	2014	1950
Logan County	North Dakota	2015	1935
Balance of Logan County	North Dakota	2010	831
Balance of Logan County	North Dakota	2011	819
Balance of Logan County	North Dakota	2012	806
Balance of Logan County	North Dakota	2013	803
Balance of Logan County	North Dakota	2014	806
Balance of Logan County	North Dakota	2015	800
McHenry County	North Dakota	2010	5397
McHenry County	North Dakota	2011	5484
McHenry County	North Dakota	2012	5779
McHenry County	North Dakota	2013	5894
McHenry County	North Dakota	2014	5955
McHenry County	North Dakota	2015	5968
Balance of McHenry County	North Dakota	2010	2607
Balance of McHenry County	North Dakota	2011	2649
Balance of McHenry County	North Dakota	2012	2794
Balance of McHenry County	North Dakota	2013	2842
Balance of McHenry County	North Dakota	2014	2869
Balance of McHenry County	North Dakota	2015	2889
McIntosh County	North Dakota	2010	2796
McIntosh County	North Dakota	2011	2763
McIntosh County	North Dakota	2012	2757
McIntosh County	North Dakota	2013	2751
McIntosh County	North Dakota	2014	2763
McIntosh County	North Dakota	2015	2759
Balance of McIntosh County	North Dakota	2010	889
Balance of McIntosh County	North Dakota	2011	878
Balance of McIntosh County	North Dakota	2012	881
Balance of McIntosh County	North Dakota	2013	880
Balance of McIntosh County	North Dakota	2014	885
Balance of McIntosh County	North Dakota	2015	882
McKenzie County	North Dakota	2010	6399
McKenzie County	North Dakota	2011	7015
McKenzie County	North Dakota	2012	7969
McKenzie County	North Dakota	2013	9269
McKenzie County	North Dakota	2014	10995
McKenzie County	North Dakota	2015	12826
Balance of McKenzie County	North Dakota	2010	4293
Balance of McKenzie County	North Dakota	2011	4663
Balance of McKenzie County	North Dakota	2012	5090
Balance of McKenzie County	North Dakota	2013	5571
Balance of McKenzie County	North Dakota	2014	6295
Balance of McKenzie County	North Dakota	2015	5740
McLean County	North Dakota	2010	8992
McLean County	North Dakota	2011	9081
McLean County	North Dakota	2012	9372
McLean County	North Dakota	2013	9472
McLean County	North Dakota	2014	9587
McLean County	North Dakota	2015	9744
Balance of McLean County	North Dakota	2010	3514
Balance of McLean County	North Dakota	2011	3556
Balance of McLean County	North Dakota	2012	3693
Balance of McLean County	North Dakota	2013	3786
Balance of McLean County	North Dakota	2014	3910
Balance of McLean County	North Dakota	2015	4082
Mercer County	North Dakota	2010	8425
Mercer County	North Dakota	2011	8435
Mercer County	North Dakota	2012	8504
Mercer County	North Dakota	2013	8609
Mercer County	North Dakota	2014	8763
Mercer County	North Dakota	2015	8853
Balance of Mercer County	North Dakota	2010	1983
Balance of Mercer County	North Dakota	2011	1971
Balance of Mercer County	North Dakota	2012	1980
Balance of Mercer County	North Dakota	2013	1980
Balance of Mercer County	North Dakota	2014	2014
Balance of Mercer County	North Dakota	2015	2034
Morton County	North Dakota	2010	27577
Morton County	North Dakota	2011	27725
Morton County	North Dakota	2012	28042
Morton County	North Dakota	2013	29016
Morton County	North Dakota	2014	29833
Morton County	North Dakota	2015	30310
Balance of Morton County	North Dakota	2010	6212
Balance of Morton County	North Dakota	2011	6215
Balance of Morton County	North Dakota	2012	6226
Balance of Morton County	North Dakota	2013	6331
Balance of Morton County	North Dakota	2014	6297
Balance of Morton County	North Dakota	2015	6270
Mountrail County	North Dakota	2010	7720
Mountrail County	North Dakota	2011	8105
Mountrail County	North Dakota	2012	8741
Mountrail County	North Dakota	2013	9338
Mountrail County	North Dakota	2014	9749
Mountrail County	North Dakota	2015	10331
Balance of Mountrail County	North Dakota	2010	2972
Balance of Mountrail County	North Dakota	2011	3054
Balance of Mountrail County	North Dakota	2012	3192
Balance of Mountrail County	North Dakota	2013	3257
Balance of Mountrail County	North Dakota	2014	3256
Balance of Mountrail County	North Dakota	2015	3347
Nelson County	North Dakota	2010	3120
Nelson County	North Dakota	2011	3066
Nelson County	North Dakota	2012	3082
Nelson County	North Dakota	2013	3075
Nelson County	North Dakota	2014	3042
Nelson County	North Dakota	2015	2968
Balance of Nelson County	North Dakota	2010	1161
Balance of Nelson County	North Dakota	2011	1134
Balance of Nelson County	North Dakota	2012	1141
Balance of Nelson County	North Dakota	2013	1136
Balance of Nelson County	North Dakota	2014	1125
Balance of Nelson County	North Dakota	2015	1097
Oliver County	North Dakota	2010	1836
Oliver County	North Dakota	2011	1847
Oliver County	North Dakota	2012	1835
Oliver County	North Dakota	2013	1867
Oliver County	North Dakota	2014	1848
Oliver County	North Dakota	2015	1846
Balance of Oliver County	North Dakota	2010	1268
Balance of Oliver County	North Dakota	2011	1274
Balance of Oliver County	North Dakota	2012	1265
Balance of Oliver County	North Dakota	2013	1289
Balance of Oliver County	North Dakota	2014	1280
Balance of Oliver County	North Dakota	2015	1282
Pembina County	North Dakota	2010	7399
Pembina County	North Dakota	2011	7383
Pembina County	North Dakota	2012	7261
Pembina County	North Dakota	2013	7164
Pembina County	North Dakota	2014	7129
Pembina County	North Dakota	2015	7091
Balance of Pembina County	North Dakota	2010	2613
Balance of Pembina County	North Dakota	2011	2607
Balance of Pembina County	North Dakota	2012	2566
Balance of Pembina County	North Dakota	2013	2536
Balance of Pembina County	North Dakota	2014	2520
Balance of Pembina County	North Dakota	2015	2508
Pierce County	North Dakota	2010	4352
Pierce County	North Dakota	2011	4379
Pierce County	North Dakota	2012	4458
Pierce County	North Dakota	2013	4440
Pierce County	North Dakota	2014	4386
Pierce County	North Dakota	2015	4312
Balance of Pierce County	North Dakota	2010	1379
Balance of Pierce County	North Dakota	2011	1386
Balance of Pierce County	North Dakota	2012	1409
Balance of Pierce County	North Dakota	2013	1406
Balance of Pierce County	North Dakota	2014	1386
Balance of Pierce County	North Dakota	2015	1367
Ramsey County	North Dakota	2010	11450
Ramsey County	North Dakota	2011	11509
Ramsey County	North Dakota	2012	11559
Ramsey County	North Dakota	2013	11551
Ramsey County	North Dakota	2014	11583
Ramsey County	North Dakota	2015	11630
Balance of Ramsey County	North Dakota	2010	3721
Balance of Ramsey County	North Dakota	2011	3732
Balance of Ramsey County	North Dakota	2012	3724
Balance of Ramsey County	North Dakota	2013	3703
Balance of Ramsey County	North Dakota	2014	3701
Balance of Ramsey County	North Dakota	2015	3698
Ransom County	North Dakota	2010	5429
Ransom County	North Dakota	2011	5418
Ransom County	North Dakota	2012	5474
Ransom County	North Dakota	2013	5490
Ransom County	North Dakota	2014	5437
Ransom County	North Dakota	2015	5448
Balance of Ransom County	North Dakota	2010	2192
Balance of Ransom County	North Dakota	2011	2191
Balance of Ransom County	North Dakota	2012	2214
Balance of Ransom County	North Dakota	2013	2226
Balance of Ransom County	North Dakota	2014	2205
Balance of Ransom County	North Dakota	2015	2208
Renville County	North Dakota	2010	2476
Renville County	North Dakota	2011	2494
Renville County	North Dakota	2012	2552
Renville County	North Dakota	2013	2615
Renville County	North Dakota	2014	2578
Renville County	North Dakota	2015	2571
Balance of Renville County	North Dakota	2010	971
Balance of Renville County	North Dakota	2011	979
Balance of Renville County	North Dakota	2012	996
Balance of Renville County	North Dakota	2013	1018
Balance of Renville County	North Dakota	2014	1000
Balance of Renville County	North Dakota	2015	992
Richland County	North Dakota	2010	16330
Richland County	North Dakota	2011	16266
Richland County	North Dakota	2012	16217
Richland County	North Dakota	2013	16302
Richland County	North Dakota	2014	16396
Richland County	North Dakota	2015	16402
Balance of Richland County	North Dakota	2010	4984
Balance of Richland County	North Dakota	2011	4944
Balance of Richland County	North Dakota	2012	4903
Balance of Richland County	North Dakota	2013	4933
Balance of Richland County	North Dakota	2014	4954
Balance of Richland County	North Dakota	2015	4950
Rolette County	North Dakota	2010	14003
Rolette County	North Dakota	2011	14150
Rolette County	North Dakota	2012	14365
Rolette County	North Dakota	2013	14654
Rolette County	North Dakota	2014	14673
Rolette County	North Dakota	2015	14649
Balance of Rolette County	North Dakota	2010	10982
Balance of Rolette County	North Dakota	2011	11099
Balance of Rolette County	North Dakota	2012	11293
Balance of Rolette County	North Dakota	2013	11526
Balance of Rolette County	North Dakota	2014	11547
Balance of Rolette County	North Dakota	2015	11535
Sargent County	North Dakota	2010	3804
Sargent County	North Dakota	2011	3803
Sargent County	North Dakota	2012	3894
Sargent County	North Dakota	2013	3875
Sargent County	North Dakota	2014	3922
Sargent County	North Dakota	2015	3876
Balance of Sargent County	North Dakota	2010	1548
Balance of Sargent County	North Dakota	2011	1547
Balance of Sargent County	North Dakota	2012	1576
Balance of Sargent County	North Dakota	2013	1556
Balance of Sargent County	North Dakota	2014	1561
Balance of Sargent County	North Dakota	2015	1526
Sheridan County	North Dakota	2010	1314
Sheridan County	North Dakota	2011	1313
Sheridan County	North Dakota	2012	1273
Sheridan County	North Dakota	2013	1317
Sheridan County	North Dakota	2014	1323
Sheridan County	North Dakota	2015	1310
Balance of Sheridan County	North Dakota	2010	762
Balance of Sheridan County	North Dakota	2011	762
Balance of Sheridan County	North Dakota	2012	739
